constno,candidatename,party,criminalcases,education,age,totalassets,liabilities
203,Rajkumar N,DMK,0,10th Pass,50,"Rs 59,75,956","Rs 2,71,674"
203,Sudhakar P,BSP,0,10th Pass,38,"Rs 7,10,500","Rs 70,000"
204,Fayaz Basha.a,DMDK,0,Graduate,40,"Rs 32,12,000",Rs 0
204,Kavitha.c,DMK,0,Graduate,33,"Rs 81,55,000","Rs 26,73,293"
204,Latha.m,BSP,0,10th Pass,41,"Rs 40,500",Rs 0
204,Oveyam Ranjan.n,BJP,0,12th Pass,54,"Rs 2,56,20,000",Rs 0
204,Ponnusamy.g,Pattali Makkal Katchi,0,Graduate Professional,69,"Rs 3,01,45,041","Rs 23,76,227"
204,Sivakumar.v.c.,IND,0,Literate,41,"Rs 1,01,000",Rs 0
204,Thenmozhi.a,Naam Tamilar Katchi,0,Graduate,34,"Rs 4,500",Rs 0
204,Thirumalai.a,Vijaya Bharatha Makkal (People) Party,0,5th Pass,32,"Rs 3,00,000",Rs 0
205,Balasubramani .r,AIADMK,0,8th Pass,48,"Rs 2,54,66,247","Rs 58,00,000"
205,Ameen Basha,Pattali Makkal Katchi,0,10th Pass,54,"Rs 37,68,000",Rs 0
205,Dhaurman .v,Peoples Party of India(secular),0,8th Pass,74,"Rs 65,000",Rs 0
205,Gopinath D.,Vijaya Bharatha Makkal (People) Party,0,12th Pass,39,"Rs 8,26,500","Rs 1,00,000"
205,Kalai Kamaraj .n,Naam Tamilar Katchi,0,12th Pass,30,"Rs 2,30,000",Rs 0
205,Madar Khaleellur Rahman,Sunder Samaj Party,0,Graduate,51,"Rs 22,33,45,598","Rs 15,19,103"
205,Murali Mohan M.,SHS,"<span style=""color:red;font-weight:bold;font-size:150%""> 1 </span>",10th Pass,32,"Rs 34,85,000",Rs 0
205,Nazeer Ahmed V.r.,Manithaneya Makkal Katchi,0,Others,33,"Rs 6,77,560","Rs 99,000"
205,Sundar.n,BSP,0,12th Pass,59,"Rs 73,000",Rs 0
205,Syamala M.,Rashtriya Samaj Paksha,0,10th Pass,44,"Rs 1,01,000",Rs 0
205,Vasu .r,DMDK,0,10th Pass,37,"Rs 15,35,000",Rs 0
205,Venkatesan K.,BJP,"<span style=""color:red;font-weight:bold;font-size:150%""> 1 </span>",Post Graduate,48,"Rs 86,49,764","Rs 25,08,764"
206,Nilofer,AIADMK,0,Graduate Professional,53,"Rs 1,84,03,943","Rs 23,26,646"
206,Abdul Gaffar. P.,IND,0,Illiterate,42,"Rs 26,75,000",Rs 0
206,G.venkatesan,BJP,0,Others,49,"Rs 45,84,500","Rs 5,10,000"
206,Gnanasekar.g,IND,0,5th Pass,38,"Rs 7,00,000",Rs 0
206,J. Wazeer Ahmed,BSP,0,Literate,44,"Rs 26,59,000",Rs 0
206,Kalillur Rahman,Naam Tamilar Katchi,0,8th Pass,37,"Rs 41,000",Rs 0
206,Kannadasan. L,IND,0,Illiterate,46,"Rs 40,000",Rs 0
206,Kirubakaran.r.,Pattali Makkal Katchi,0,12th Pass,54,"Rs 3,60,44,759","Rs 43,11,400"
206,Mohammed Ismail,Welfare Party Of India,0,12th Pass,65,"Rs 33,74,716",Rs 0
206,Sudhakar. S.,IND,0,Illiterate,26,"Rs 1,22,000",Rs 0
206,Syed Farooq,IUML,0,5th Pass,55,"Rs 1,06,24,475",Rs 0
206,Vakeel Ahmed . T. S,All India Majlis-E-Ittehadul Muslimeen,0,Others,34,"Rs 15,80,000",Rs 0
207,Jayanthi Padmanabhan .c,AIADMK,0,Graduate Professional,35,"Rs 2,30,30,913","Rs 69,15,000"
207,Balasingam .s,IND,0,10th Pass,26,"Rs 4,52,666",Rs 0
207,Deepa .b,Pattali Makkal Katchi,0,8th Pass,26,"Rs 11,90,743",Rs 0
207,Ganesan .t,Indiya Jananayaka Katchi,0,Post Graduate,39,"Rs 20,55,000","Rs 5,30,000"
207,Lingamuthu .k,CPI,0,10th Pass,62,"Rs 87,50,000",Rs 0
207,Rajamarthandan .k,DMK,0,Post Graduate,37,"Rs 62,03,814","Rs 4,75,000"
207,"Rajkumar, S.",Naam Tamilar Katchi,0,12th Pass,28,"Rs 10,000",Rs 0
207,"Saravanan, S",Peoples Party of India(secular),0,10th Pass,34,"Rs 65,000",Rs 0
207,Shanmugam .m,BSP,0,Post Graduate,63,"Rs 12,90,000",Rs 0
207,Thangaraj .g,All Pensioners Party,0,10th Pass,68,Nil,Rs 0
207,Vadivelan .p,Vijaya Bharatha Makkal (People) Party,0,12th Pass,35,"Rs 8,26,000",Rs 0
